Country,Avertable deaths from rotavirusavertable deaths
Afghanistan,642.0
Albania,0.0
Algeria,33.0
American Samoa,0.0
Andorra,0.0
Angola,874.0
Antigua and Barbuda,0.0
Argentina,13.0
Armenia,0.0
Australia,0.0
Austria,0.0
Azerbaijan,20.0
Bahamas,0.0
Bahrain,0.0
Bangladesh,598.0
Barbados,0.0
Belarus,0.0
Belgium,0.0
Belize,1.0
Benin,1380.0
Bermuda,0.0
Bhutan,2.0
Bolivia,10.0
Bosnia and Herzegovina,0.0
Botswana,1.0
Brazil,22.0
Brunei,0.0
Bulgaria,1.0
Burkina Faso,689.0
Burundi,327.0
Cambodia,73.0
Cameroon,753.0
Canada,1.0
Cape Verde,2.0
Caribbean,90.0
Central African Republic,942.0
Central Asia,101.0
Central Europe,19.0
Central Sub-Saharan Africa,11188.0
Chad,3235.0
Chile,2.0
China,56.0
Colombia,8.0
Comoros,14.0
Congo,117.0
Costa Rica,2.0
Cote d'Ivoire,1301.0
Croatia,0.0
Cuba,2.0
Cyprus,0.0
Czechia,1.0
Democratic Republic of Congo,9217.0
Denmark,1.0
Djibouti,9.0
Dominica,0.0
Dominican Republic,16.0
East Asia,190.0
Eastern Europe,41.0
Eastern Sub-Saharan Africa,6976.0
Ecuador,2.0
Egypt,690.0
El Salvador,3.0
England,1.0
Equatorial Guinea,4.0
Eritrea,19.0
Estonia,0.0
Eswatini,22.0
Ethiopia,1545.0
Fiji,1.0
Finland,0.0
France,14.0
Gabon,34.0
Gambia,11.0
Georgia,1.0
Germany,3.0
Ghana,130.0
Greece,0.0
Greenland,0.0
Grenada,0.0
Guam,0.0
Guatemala,16.0
Guinea,649.0
Guinea-Bissau,76.0
Guyana,1.0
Haiti,65.0
High-income,69.0
High-income Asia Pacific,8.0
Honduras,7.0
Hungary,0.0
Iceland,0.0
India,7712.0
Indonesia,1523.0
Iran,119.0
Iraq,167.0
Ireland,0.0
Israel,1.0
Italy,3.0
Jamaica,3.0
Japan,6.0
Jordan,2.0
Kazakhstan,7.0
Kenya,455.0
Kiribati,1.0
Kuwait,1.0
Kyrgyzstan,18.0
Laos,252.0
Latin America and the Caribbean,308.0
Latvia,0.0
Lebanon,2.0
Lesotho,108.0
Liberia,408.0
Libya,0.0
Lithuania,0.0
Luxembourg,0.0
Madagascar,636.0
Malawi,181.0
Malaysia,6.0
Maldives,0.0
Mali,671.0
Malta,0.0
Marshall Islands,0.0
Mauritania,106.0
Mauritius,0.0
Mexico,84.0
Micronesia (region),0.0
Moldova,0.0
Mongolia,0.0
Montenegro,0.0
Morocco,28.0
Mozambique,553.0
Myanmar,247.0
Namibia,36.0
Nepal,122.0
Netherlands,2.0
New Zealand,0.0
Nicaragua,0.0
Niger,1955.0
Nigeria,36428.0
North Africa and Middle East,2502.0
North America,13.0
North Korea,132.0
North Macedonia,1.0
Northern Ireland,0.0
Northern Mariana Islands,0.0
Norway,0.0
Oceania,63.0
Oman,1.0
Pakistan,1659.0
Palestine,5.0
Panama,6.0
Papua New Guinea,55.0
Paraguay,3.0
Peru,4.0
Philippines,341.0
Poland,2.0
Portugal,1.0
Puerto Rico,0.0
Qatar,0.0
Romania,12.0
Russia,37.0
Rwanda,57.0
Saint Lucia,0.0
Saint Vincent and the Grenadines,0.0
Samoa,0.0
Sao Tome and Principe,2.0
Saudi Arabia,1.0
Scotland,0.0
Senegal,252.0
Serbia,1.0
Seychelles,0.0
Sierra Leone,439.0
Singapore,2.0
Slovakia,1.0
Slovenia,0.0
Solomon Islands,4.0
Somalia,396.0
South Africa,85.0
South Asia,10093.0
South Korea,0.0
South Sudan,700.0
Southeast Asia,2539.0
Southern Latin America,16.0
Southern Sub-Saharan Africa,409.0
Spain,1.0
Sri Lanka,2.0
Sub-Saharan Africa,67234.0
Sudan,217.0
Suriname,2.0
Sweden,0.0
Switzerland,1.0
Syria,4.0
Taiwan,2.0
Tajikistan,41.0
Tanzania,255.0
Thailand,19.0
Timor,41.0
Togo,174.0
Tonga,0.0
Trinidad and Tobago,0.0
Tunisia,3.0
Turkey,30.0
Turkmenistan,13.0
Uganda,1639.0
Ukraine,4.0
United Arab Emirates,0.0
United States,12.0
United States Virgin Islands,0.0
Uruguay,1.0
Uzbekistan,0.0
Vanuatu,2.0
Venezuela,49.0
Vietnam,34.0
Wales,0.0
Western Europe,31.0
Western Sub-Saharan Africa,48660.0
World,83158.0
Yemen,558.0
Zambia,192.0
Zimbabwe,157.0
